Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
22-Mar-2012,11:28,11:38,"Caledonian Road and Barnsbury to Kentish Town West",1.40,,3.45,""
20-Mar-2012,13:09,13:28,"Arnos Grove to Caledonian Road",1.40,,4.85,""
20-Mar-2012,12:56,,"Bus journey, route 232",1.35,,6.25,""
20-Mar-2012,11:29,,"Bus journey, route 263",1.35,,7.60,""
20-Mar-2012,10:37,,"Bus journey, route 17",1.35,,8.95,""
20-Mar-2012,10:36,,"Topped up, Caledonian Road",,10.00,10.30,""
15-Mar-2012,12:46,,"Bus journey, route 91",1.35,,0.30,""
13-Mar-2012,13:04,13:25,"Arnos Grove to Caledonian Road",1.40,,1.65,""
13-Mar-2012,12:48,,"Bus journey, route 232",1.35,,3.05,""
13-Mar-2012,11:21,,"Bus journey, route 263",1.35,,4.40,""
13-Mar-2012,11:18,,"Topped up, Archway",,5.00,5.75,""
13-Mar-2012,10:47,,"Bus journey, route 17",1.35,,0.75,""
06-Mar-2012,09:49,,"Bus journey, route 259",1.35,,2.10,""
06-Mar-2012,08:41,,"Bus journey, route 17",1.35,,3.45,""
01-Mar-2012,09:34,09:49,"Caledonian Road and Barnsbury to Kentish Town West",1.40,,4.80,""
29-Feb-2012,08:38,08:53,"Caledonian Road and Barnsbury to Kentish Town West",1.50,,6.20,""
28-Feb-2012,10:00,,"Bus journey, route 259",1.35,,7.70,""
28-Feb-2012,09:27,,"Topped up,  ",,5.00,9.05,""
28-Feb-2012,08:42,,"Bus journey, route 17",1.35,,4.05,""
21-Feb-2012,10:49,,"Bus journey, route 259",1.35,,5.40,""
21-Feb-2012,09:35,,"Bus journey, route 43",1.35,,6.75,""
21-Feb-2012,09:25,,"Bus journey, route 91",1.35,,8.10,""
20-Feb-2012,13:34,13:52,"Oxford Circus to Caledonian Road",2.00,,9.45,""
20-Feb-2012,13:34,,"Topped up, Oxford Circus",,10.00,11.45,""
20-Feb-2012,12:17,12:32,"Caledonian Road to Oxford Circus",2.00,,1.45,""
14-Feb-2012,13:09,,"Bus journey, route 17",1.35,,3.45,""
14-Feb-2012,11:46,,"Bus journey, route 17",1.35,,4.80,""
13-Feb-2012,12:46,,"Topped up,  ",,5.00,6.15,""
07-Feb-2012,16:25,,"Bus journey, route 17",1.35,,1.15,""
07-Feb-2012,15:39,,"Bus journey, route 17",1.35,,2.50,""
02-Feb-2012,15:59,,"Bus journey, route 91",1.35,,3.85,""
01-Feb-2012,10:09,,"Bus journey, route 91",1.35,,5.20,""
31-Jan-2012,16:09,,"Bus journey, route 17",1.35,,6.55,""
31-Jan-2012,15:59,,"Topped up, Archway",,5.00,7.90,""
31-Jan-2012,14:43,,"Bus journey, route 17",1.35,,2.90,""
